Iteration,Objective Function Value,Training Accuracy,Test Accuracy
72,0.4435693959407274,70.75,75.0
73,0.4451232438589974,70.75,75.0
74,0.4458974243432918,70.75,75.0
75,0.45831851219603664,70.75,75.0
76,0.43609891410178603,70.75,75.0
77,0.44509109700246197,70.75,75.0
78,0.4452564940176096,70.75,75.0
79,0.44163618901091767,70.75,75.0
80,0.440178599844156,70.75,75.0
81,0.438029182583699,70.75,75.0
82,0.4418842631498643,70.75,75.0
83,0.42394056361848326,70.75,75.0
84,0.44942922010280684,70.75,75.0
85,0.42716394513959116,70.75,75.0
86,0.4226340932379906,70.75,75.0
87,0.44391707841543826,70.75,75.0
88,0.42400858006790615,70.75,75.0
89,0.43807302889939564,70.75,75.0
90,0.4191071174935979,70.75,75.0
91,0.4203766944248574,70.75,75.0
92,0.44690427757211076,70.75,75.0
93,0.44054726707668934,70.75,75.0
94,0.4205737821317627,70.75,75.0
95,0.4132045482538388,70.75,75.0
96,0.42706229799380535,70.75,75.0
97,0.42737488636620796,70.75,75.0
98,0.4122223497670505,70.75,75.0
99,0.41678507697918177,70.75,75.0
100,0.41506535724148663,70.75,75.0
101,0.43110161203889175,70.75,75.0
102,0.41732532234583963,70.75,75.0
103,0.40987020172870714,70.75,75.0
104,0.4096022330836126,70.75,75.0
105,0.409162097329652,70.75,75.0
106,0.4103021857939542,70.75,75.0
107,0.4047996281007471,70.75,75.0
108,0.4221442026341832,70.75,75.0
109,0.40294605957755136,70.75,75.0
110,0.4313296817032078,70.75,75.0
111,0.4093863671863101,70.75,75.0
112,0.41251355675507156,70.75,75.0
113,0.40812138965883066,70.75,75.0
114,0.3970850644359243,70.75,75.0
115,0.39355382501128383,70.75,75.0
116,0.41401909559259975,70.75,75.0
117,0.39641402675190746,70.75,75.0
118,0.39588827578357294,70.75,75.0
119,0.405192467616919,70.75,75.0
120,0.3964150149735478,70.75,75.0
121,0.40216194682900736,70.75,75.0
122,0.39817933701362335,70.75,75.0
123,0.3987287757444244,70.75,75.0
124,0.422172169009313,70.75,75.0
125,0.4001997517453525,70.75,75.0
126,0.3888265780081303,70.75,75.0
127,0.38318959103302985,70.75,75.0
128,0.4089066401068668,70.75,75.0
129,0.4049936089220107,70.75,75.0
130,0.38105231067557344,70.75,75.0
131,0.40460728853143446,70.75,75.0
132,0.3738454463548436,70.75,75.0
133,0.3927464551715714,70.75,75.0
134,0.37713206234663926,70.75,75.0
135,0.3785303835583821,70.75,75.0
136,0.37779157048387235,70.75,75.0
137,0.3738165125156183,70.75,75.0
138,0.3810761017634646,70.75,75.0
139,0.3834754253841916,70.75,75.0
140,0.37402554427543877,70.75,75.0
141,0.38544064829682884,70.75,75.0
142,0.3868227868047829,70.75,75.0
143,0.3717855436666166,70.75,75.0
144,0.37892008270715266,70.75,75.0
145,0.3761965071575827,70.75,75.0
146,0.38400765961536903,70.75,75.0
147,0.3788648483602936,70.75,75.0
148,0.3720974667760792,70.75,75.0
149,0.3809819309919108,70.75,75.0
150,0.37491877594135664,70.75,75.0
151,0.37027971411134303,70.75,75.0
