Iteration,Objective Function Value,Training Accuracy,Test Accuracy
109,0.44329758586903506,75.0,40.0
110,0.4492251917522195,75.0,40.0
111,0.44907156069772125,75.0,40.0
112,0.4493558578287796,75.0,40.0
113,0.44762514029077527,75.0,40.0
114,0.44611850470760006,75.0,40.0
115,0.4499702134441044,75.0,40.0
116,0.44674964941381,75.0,40.0
117,0.44909143449486955,75.0,40.0
118,0.4470337712004076,75.0,40.0
119,0.4382189786246477,75.0,40.0
120,0.44853840075653917,75.0,40.0
121,0.4415373056508871,75.0,40.0
122,0.44134249744940346,75.0,40.0
123,0.4442039252150625,75.0,40.0
124,0.4436622933115058,75.0,40.0
125,0.44727788170562394,75.0,40.0
126,0.4387597949809897,75.0,40.0
127,0.44978571897072295,75.0,40.0
128,0.4448027711813637,75.0,40.0
129,0.43654960835175727,75.0,40.0
130,0.44772083751571196,75.0,40.0
131,0.4413869631484305,75.0,40.0
132,0.4416906011098002,75.0,40.0
133,0.4446025162974001,75.0,40.0
134,0.44409908837348144,75.0,40.0
135,0.44552400320390967,75.0,40.0
136,0.4429959582413522,75.0,40.0
137,0.43466345937364415,75.0,40.0
138,0.4428429217626212,75.0,40.0
139,0.44190643064955915,75.0,40.0
140,0.4371425641412573,75.0,40.0
141,0.4324499848870972,75.0,40.0
142,0.44764880800333184,75.0,40.0
143,0.4295490445140812,75.0,40.0
144,0.44632362111230617,75.0,40.0
145,0.4393572035266571,75.0,40.0
146,0.434104284823243,75.0,40.0
147,0.4386244659983364,75.0,40.0
148,0.432162013668871,75.0,40.0
149,0.43243111869263834,75.0,40.0
150,0.43731837295602605,75.0,40.0
151,0.4277507420612759,75.0,40.0
